dataset,experiment,fig4,fig5d,fig5e,fold,behavior_class,f1,precision,recall,train_ground_truth_label_counts
vehkaoja_dogs,CNN,True,False,False,1,galloping,0.9510492870613956,0.9406648765534776,0.9616655329899912,133762
vehkaoja_dogs,CNN,True,False,False,1,lying_chest,0.4306636292788202,0.36381729878101277,0.527603351914278,411050
vehkaoja_dogs,CNN,True,False,False,1,panting_lying_chest,0.5872638481644474,0.6634065411344309,0.5268001916273585,474147
vehkaoja_dogs,CNN,True,False,False,1,panting_sitting,0.6990438947938554,0.7489258728826115,0.6553917296320039,514368
vehkaoja_dogs,CNN,True,False,False,1,panting_standing,0.678662495601583,0.7101225601452564,0.6498716836216606,431092
vehkaoja_dogs,CNN,True,False,False,1,shaking,0.9405283585826968,0.9340185676392573,0.947129528452551,30282
vehkaoja_dogs,CNN,True,False,False,1,sitting,0.6767256884767575,0.6653371189421253,0.6885109238229822,368552
vehkaoja_dogs,CNN,True,False,False,1,sniffing,0.9740326179954664,0.9696791415675875,0.978425361497023,800450
vehkaoja_dogs,CNN,True,False,False,1,standing,0.47064198836594395,0.48340952149201327,0.4585315186836921,366983
vehkaoja_dogs,CNN,True,False,False,1,trotting,0.9726016820298393,0.991241026137698,0.9546503900101437,602345
vehkaoja_dogs,CNN,True,False,False,1,walking,0.9414965197215778,0.9592742531249077,0.9243657279535294,607440
vehkaoja_dogs,CNN,True,False,False,2,galloping,0.9580392660079559,0.9441370807119598,0.9723569823853091,144213
vehkaoja_dogs,CNN,True,False,False,2,lying_chest,0.49323463138327595,0.3931727936467273,0.6616144297373294,445144
vehkaoja_dogs,CNN,True,False,False,2,panting_lying_chest,0.791497975708502,0.8537273890005481,0.73772420108627,456019
vehkaoja_dogs,CNN,True,False,False,2,panting_sitting,0.8240269726724241,0.8596265243314539,0.7912587238816037,512352
vehkaoja_dogs,CNN,True,False,False,2,panting_standing,0.7220036231692695,0.8579156782267073,0.6232651870224135,429752
vehkaoja_dogs,CNN,True,False,False,2,shaking,0.9716555183946488,0.9705194588274595,0.9727942407500418,30233
vehkaoja_dogs,CNN,True,False,False,2,sitting,0.7866342438630554,0.7502062441564156,0.8267804828770583,367925
vehkaoja_dogs,CNN,True,False,False,2,sniffing,0.9777542164889753,0.9650728436393234,0.9907733017652589,825131
vehkaoja_dogs,CNN,True,False,False,2,standing,0.402147766323024,0.45944922740402144,0.3575543964557735,396650
vehkaoja_dogs,CNN,True,False,False,2,trotting,0.9783218687472621,0.9890125673249551,0.967859820089955,645815
vehkaoja_dogs,CNN,True,False,False,2,walking,0.9509927500063448,0.9635430654681973,0.938765170916379,603415
vehkaoja_dogs,CNN,True,False,False,3,galloping,0.9589085119125875,0.9464244521337947,0.9717263226455872,141149
vehkaoja_dogs,CNN,True,False,False,3,lying_chest,0.36073658255075813,0.45114163240311433,0.30051571923894993,478569
vehkaoja_dogs,CNN,True,False,False,3,panting_lying_chest,0.8646922129166081,0.816436161440049,0.9190110261697486,431868
vehkaoja_dogs,CNN,True,False,False,3,panting_sitting,0.8206197005705205,0.8915858923189705,0.7601177745062637,509197
vehkaoja_dogs,CNN,True,False,False,3,panting_standing,0.81101841380929,0.8471138845553822,0.7778732809430255,417258
vehkaoja_dogs,CNN,True,False,False,3,shaking,0.9621451104100947,0.9435421500386698,0.9814963797264682,37207
vehkaoja_dogs,CNN,True,False,False,3,sitting,0.6627785854737277,0.5432414416553286,0.8497643193829453,396905
vehkaoja_dogs,CNN,True,False,False,3,sniffing,0.9913405991864059,0.9873842110923552,0.9953288208454316,814026
vehkaoja_dogs,CNN,True,False,False,3,standing,0.6422348880610458,0.67144277707467,0.6154621663052935,415883
vehkaoja_dogs,CNN,True,False,False,3,trotting,0.9839162449660461,0.9853575524859123,0.9824791477618805,612985
vehkaoja_dogs,CNN,True,False,False,3,walking,0.9711676251982344,0.9730826664624574,0.9692601067887109,625715
vehkaoja_dogs,CNN,True,False,False,4,galloping,0.9459553744610188,0.9124804824207182,0.9819798939652925,140409
vehkaoja_dogs,CNN,True,False,False,4,lying_chest,0.6760951507217394,0.6313523156793664,0.7276633827401556,412007
vehkaoja_dogs,CNN,True,False,False,4,panting_lying_chest,0.7722359638125571,0.9055067012766859,0.6731613665452397,481121
vehkaoja_dogs,CNN,True,False,False,4,panting_sitting,0.8538088025842148,0.9008609489493651,0.811427768979318,525022
vehkaoja_dogs,CNN,True,False,False,4,panting_standing,0.768113624383281,0.6919243656230659,0.8631577546157635,464295
vehkaoja_dogs,CNN,True,False,False,4,shaking,0.8848438690022848,0.809391110491849,0.9758105157063666,36226
vehkaoja_dogs,CNN,True,False,False,4,sitting,0.7516939345117885,0.6602777733484285,0.8724912820404767,371996
vehkaoja_dogs,CNN,True,False,False,4,sniffing,0.9816073645499052,0.990924482615111,0.9724638219268363,810716
vehkaoja_dogs,CNN,True,False,False,4,standing,0.6784944661798858,0.7917712432981435,0.593573373942074,351704
vehkaoja_dogs,CNN,True,False,False,4,trotting,0.9729412733712215,0.9780745333386326,0.9678616141951638,621320
vehkaoja_dogs,CNN,True,False,False,4,walking,0.9519667368347802,0.9356597153351071,0.9688522500318701,641837